tau,T_out,I_dot_south,f_occ
0,25.5,0,0.0
3600,23.87,0,0.0
7200,22.11,0,0.0
10800,20.36,0,0.0
14400,18.72,0,0.0
18000,17.33,0,0.0
21600,16.27,0,0.0
25200,15.63,220.0,0.3
28800,15.44,425.0,1.0
32400,15.73,601.0,1.0
36000,16.49,736.1,1.0
39600,17.65,821.0,1.0
43200,19.15,850.0,1.0
46800,20.89,821.0,1.0
50400,22.75,736.1,1.0
54000,24.61,601.0,1.0
57600,26.34,425.0,1.0
61200,27.84,220.0,1.0
64800,29.0,0.0,1.0
68400,29.74,0,0.3
72000,30.02,0,0.0
75600,29.82,0,0.0
79200,29.16,0,0.0
82800,28.09,0,0.0
86400,26.67,0,0.0
90000,25.02,0,0.0
93600,23.24,0,0.0
97200,21.46,0,0.0
100800,19.8,0,0.0
104400,18.38,0,0.0
108000,17.29,0,0.0
111600,16.61,220.0,0.3
115200,16.4,425.0,1.0
118800,16.65,601.0,1.0
122400,17.37,736.1,1.0
126000,18.5,821.0,1.0
129600,19.96,850.0,1.0
133200,21.66,821.0,1.0
136800,23.48,736.1,1.0
140400,25.3,601.0,1.0
144000,27.0,425.0,1.0
147600,28.45,220.0,1.0
151200,29.56,0.0,1.0
154800,30.26,0,0.3
158400,30.5,0,0.0
162000,30.25,0,0.0
165600,29.55,0,0.0
169200,28.42,0,0.0
172800,26.96,0,0.0
176400,25.26,0,0.0
180000,23.43,0,0.0
183600,21.6,0,0.0
187200,19.9,0,0.0
190800,18.43,0,0.0
194400,17.29,0,0.0
198000,16.56,220.0,0.3
201600,16.3,425.0,1.0
205200,16.51,601.0,1.0
208800,17.18,736.1,1.0
212400,18.26,821.0,1.0
216000,19.67,850.0,1.0
219600,21.33,821.0,1.0
223200,23.1,736.1,1.0
226800,24.87,601.0,1.0
230400,26.52,425.0,1.0
234000,27.93,220.0,1.0
237600,29.0,0.0,1.0
241200,29.65,0,0.3
244800,29.84,0,0.0
248400,29.56,0,0.0
252000,28.81,0,0.0
255600,27.65,0,0.0
259200,26.15,0,0.0
262800,24.41,0,0.0
266400,22.55,0,0.0
270000,20.68,0,0.0
273600,18.94,0,0.0
277200,17.44,0,0.0
280800,16.27,0,0.0
284400,15.52,220.0,0.3
288000,15.22,425.0,1.0
291600,15.41,601.0,1.0
295200,16.05,736.1,1.0
298800,17.11,821.0,1.0
302400,18.5,850.0,1.0
306000,20.13,821.0,1.0
309600,21.89,736.1,1.0
313200,23.64,601.0,1.0
316800,25.28,425.0,1.0
320400,26.67,220.0,1.0
324000,27.73,0.0,1.0
327600,28.37,0,0.3
331200,28.56,0,0.0
334800,28.27,0,0.0
338400,27.51,0,0.0
342000,26.35,0,0.0
345600,24.85,0,0.0
349200,23.11,0,0.0
352800,21.25,0,0.0
356400,19.39,0,0.0
360000,17.66,0,0.0
363600,16.16,0,0.0
367200,15.0,0,0.0
370800,14.26,220.0,0.3
374400,13.98,425.0,1.0
378000,14.18,601.0,1.0
381600,14.84,736.1,1.0
385200,15.91,821.0,1.0
388800,17.33,850.0,1.0
392400,18.98,821.0,1.0
396000,20.76,736.1,1.0
399600,22.54,601.0,1.0
403200,24.2,425.0,1.0
406800,25.62,220.0,1.0
410400,26.71,0.0,1.0
414000,27.39,0,0.3
417600,27.6,0,0.0
421200,27.35,0,0.0
424800,26.63,0,0.0
428400,25.5,0,0.0
432000,24.04,0,0.0
435600,22.34,0,0.0
439200,20.52,0,0.0
442800,18.7,0,0.0
446400,17.0,0,0.0
450000,15.55,0,0.0
453600,14.44,0,0.0
457200,13.74,220.0,0.0
460800,13.5,425.0,0.0
464400,13.75,601.0,0.0
468000,14.45,736.1,0.0
471600,15.58,821.0,0.0
475200,17.04,850.0,0.0
478800,18.74,821.0,0.0
482400,20.57,736.1,0.0
486000,22.4,601.0,0.0
489600,24.1,425.0,0.0
493200,25.57,220.0,0.0
496800,26.71,0.0,0.0
500400,27.44,0,0.0
504000,27.7,0,0.0
507600,27.49,0,0.0
511200,26.82,0,0.0
514800,25.74,0,0.0
518400,24.33,0,0.0
522000,22.67,0,0.0
525600,20.9,0,0.0
529200,19.13,0,0.0
532800,17.48,0,0.0
536400,16.07,0,0.0
540000,15.0,0,0.0
543600,14.35,220.0,0.0
547200,14.16,425.0,0.0
550800,14.44,601.0,0.0
554400,15.19,736.1,0.0
558000,16.35,821.0,0.0
561600,17.85,850.0,0.0
565200,19.59,821.0,0.0
568800,21.45,736.1,0.0
572400,23.32,601.0,0.0
576000,25.06,425.0,0.0
579600,26.56,220.0,0.0
583200,27.73,0.0,0.0
586800,28.48,0,0.0
590400,28.78,0,0.0
594000,28.59,0,0.0
597600,27.95,0,0.0
601200,26.89,0,0.0
604800,25.5,0,0.0
