Object,Category,Description,Implemented,Priority,Notes,
# --- Core Syntax ---,,,,,,
+,Core Syntax,Addition operator,Yes,1,src/autodiff_node.cpp — full AD support,
-,Core Syntax,Subtraction operator,Yes,1,src/autodiff_node.cpp — full AD support,
*,Core Syntax,Multiplication operator,Yes,1,src/autodiff_node.cpp — full AD support,
/,Core Syntax,Division operator,Yes,1,src/autodiff_node.cpp — full AD support,
^,Core Syntax,Exponentiation operator,Yes,1,src/autodiff_node.cpp — full AD support,
- (unary),Core Syntax,Unary negation,Yes,1,src/autodiff_node.cpp,
= (equation),Core Syntax,Equation definition (LHS = RHS),Yes,1,Parser creates Equation AST node,
:= (assignment),Core Syntax,Procedural assignment,Yes,1,Parser creates Assignment AST node inside FUNCTION/PROCEDURE,
Quoted comment,Core Syntax,"Display comment ""...""",Yes,1,src/parser.cpp — three comment styles,
{Brace comment},Core Syntax,"Hidden comment {...}, supports nesting",Yes,1,src/parser.cpp,
// Line comment,Core Syntax,C-style line comment,Yes,2,Not standard EES, CoolSolve extension
Variable naming,Core Syntax,"Case-insensitive for keywords, case-preserving for variables",Yes,1,src/parser.cpp,
X[i] (array subscript),Core Syntax,1-D array subscript,Yes,1,Variable AST node supports indices,
"X[i,j] (2-D array)",Core Syntax,2-D array subscript,Yes,2,Variable AST node supports multiple indices,
var$ (string variable),Core Syntax,String variable (dollar suffix),Yes,1,src/parser.cpp recognizes $ variables,
"Units annotation ""[unit]""",Core Syntax,"Unit annotation on values/equations, e.g. T = 300 [K]",Yes,1,Equation AST node stores optional unit string,
Number literals,Core Syntax,"Integer, float, and scientific notation (1e5, 3.14, -2.5E-3)",Yes,1,PEG grammar NumericLiteral rule,
String literals,Core Syntax,Single-quoted string literals for fluid names etc.,Yes,1,src/parser.cpp,
# --- Comparison & Logical Operators ---,,,,,,
< (less than),Operators,Less-than comparison,Yes,1,Used in IF conditions inside FUNCTION/PROCEDURE,
> (greater than),Operators,Greater-than comparison,Yes,1,Used in IF conditions,
<= (less or equal),Operators,Less-than-or-equal comparison,Yes,1,Used in IF conditions,
>= (greater or equal),Operators,Greater-than-or-equal comparison,Yes,1,Used in IF conditions,
= (equality test),Operators,Equality comparison in IF conditions,Yes,1,Context-dependent: equation vs comparison,
<> (not equal),Operators,Not-equal comparison,Yes,1,Used in IF conditions,
AND,Operators,Logical AND,Yes,1,Used in IF conditions,
OR,Operators,Logical OR,Yes,1,Used in IF conditions,
NOT,Operators,Logical NOT,Yes,1,Used in IF conditions,
# --- Control Flow ---,,,,,,
IF-THEN-ELSE,Control Flow,Conditional execution in procedural blocks,Yes,1,src/parser.cpp + IfThenElse AST node,
IFNOT-THEN-ELSE,Control Flow,Negated conditional execution,Yes,1,Variation of IF-THEN-ELSE,
"IF(cond, true_val, false_val)",Control Flow,Inline conditional function (expression-level),Yes,1,src/autodiff_node.cpp — 3-arg IF function, cond>0 returns true_val
"IF$(cond, true$, false$)",Control Flow,Inline conditional for string variables,No,3,String version of inline IF,
REPEAT-UNTIL,Control Flow,Loop that repeats until condition is true,Yes,1,src/parser.cpp + evaluator.cpp — REPEAT body UNTIL(condition) with max 10000 iterations,
DUPLICATE i=1:N,Control Flow,"Array loop construct DUPLICATE i=1,N ... END",Yes,1,src/parser.cpp + evaluator.cpp — parsed and executed in procedural blocks,
GOTO,Control Flow,Jump to a labelled statement,No,3,Rarely needed, some legacy EES code uses it
Statement labels,Control Flow,Numeric labels for GOTO targets (e.g. 100: ...),No,3,Used with GOTO,
CASE,Control Flow,CASE/OF/ENDCASE multi-branch conditional,No,3,Occasionally used in EES procedures,
# --- User Functions & Procedures ---,,,,,,
FUNCTION...END,Functions & Procedures,User-defined function with RETURN value,Yes,1,src/parser.cpp — FunctionDefinition AST node,
PROCEDURE...END,Functions & Procedures,User-defined procedure with multiple outputs (CALL name(in : out)),Yes,1,src/parser.cpp — ProcedureDefinition AST node,
CALL,Functions & Procedures,Invoke a procedure: CALL name(inputs : outputs),Yes,1,src/parser.cpp — ProcedureCall AST node,
RETURN,Functions & Procedures,Return value from FUNCTION/exit PROCEDURE,No,3,Implicit return at end of function body,
ERROR procedure,Functions & Procedures,Raise a runtime error with message (ERROR 'msg'),No,2,EES built-in for error handling in procedures,
WARNING procedure,Functions & Procedures,Display warning without halting (WARNING 'msg'),No,3,EES built-in for user warnings,
MODULE...END,Functions & Procedures,Module definition (group of equations),No,3,"Parser detects keyword, raises 'not yet handled'",
SUBPROGRAM...END,Functions & Procedures,Subprogram definition,No,3,"Parser detects keyword, raises 'not yet handled'",
